;作者id;总评分;外观评分;内饰评分;配置评分;空间评分;舒适性评分;操控评分;动力评分
112;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
113;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
114;艳子琐事;4.07;4;4;4;4;4;4;0
115;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
116;Terry8620;4;4.5;3;4;4;3.5;4.5;0
117;亨利Sun;4.5;5;4;5;4.5;3;5;0
118;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
119;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
120;成熟咖啡Qu;4;4;4;4;4;4;4;0
121;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
122;极速埃弗里4;4.86;5;5;5;5;4;5;0
123;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
124;不灬落;4.21;2;4.5;4;5;4;5;0
125;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
126;安迪想开我的车;4.56;5;4.5;5;5;5;5;0
127;梦幻宇宙72;4.5;3;4;4.5;5;5;4.5;0
128;艳子琐事;4.07;4;4;4;4;4;4;0
129;WayneTheLion;4.57;4.5;4;4.5;5;4;5;0
130;Terry8620;4;4.5;3;4;4;3.5;4.5;0
131;亨利Sun;4.5;5;4;5;4.5;3;5;0
132;vincann;4.36;5;4;4.5;4.5;3.5;4.5;0
133;酱油卡俄斯;4.5;5;3.5;4.5;5;3.5;5;0
134;成熟咖啡Qu;4;4;4;4;4;4;4;0
135;高不浅;4.39;4.5;4.5;4.5;4.5;3.5;4.5;0
136;极速埃弗里4;4.86;5;5;5;5;4;5;0
137;光寻影;4.5;4.5;4.5;4.5;4.5;4;4.5;0
138;不灬落;4.21;2;4.5;4;5;4;5;0
139;桂林毛豆Y标续黑;4.71;5;4;5;5;4;5;0
